Identifier	Dose Form	
385082009	Gingival paste
421620004	Prolonged-release buccal tablet
420901005	Ear emulsion
385045000	Gastro-resistant oral granules
1229992005	Powder for solution for iontophoresis
1231836003	Absorbent impregnated material for cutaneous application
385148001	Otic stick
385183002	Rectal gel
385160000	Nasal emulsion spray
765163001	Ear and eye drops solution
385125006	Eye drops solution
1217286002	Modified-release oral hard capsule
1237269000	Concentrate for solution for infusion and/or injection
1002252007	Gas for insufflation
420891003	Ear drops suspension
230601000087108	Powder for prolonged-release oral suspension
421425002	Powder for inhalation solution
763852000	Buccal spray
761900009	Eye drops emulsion
764501003	Oromucosal lozenge
385172006	Vaginal emulsion
421752008	Gastro-resistant and prolonged-release oral capsule
1231567008	Solution for vapor inhalation
385159005	Nasal suspension spray
1237270004	Concentrate for solution for peritoneal dialysis
1297017001	Powder for conventional release intravesical solution and solution for injection
764478008	Gingival ointment
385137008	Ear drops solution
420540006	Cutaneous oil
385200006	Powder for nebulizer suspension
385223009	Powder for solution for injection
385171004	Vaginal suspension
385118004	Cutaneous stick
1231578000	Powder for intravesical solution
385081002	Gingival gel
1236820004	Solution for solution for tissue adhesive
385033009	Powder for oral syrup
879805002	Conventional release oral pellets in capsule
385245005	Urethral gel
1230219005	Oromucosal compressed lozenge
1231297004	Prolonged-release periodontal insert
765164007	Ear and eye and nose drops solution
1008211000202107	Solution for blood fraction modification
1234925007	Dispersion for infusion or injection
763445009	Dental paste
1217285003	Prolonged-release oral hard capsule
385044001	Effervescent oral granules
1231322002	Dental cement
1237073006	Prolonged-release intrauterine delivery system
761901008	Granules for gastro-resistant oral suspension
385221006	Emulsion for injection
385078007	Oromucosal gel
782648001	Prolonged-release vaginal pessary
385090009	Prolonged-release dental insert
385150009	Nasal gel
422085005	Powder for eye suspension
1234926008	Solution for infusion or injection
385106008	Cutaneous solution spray
385173001	Tablet for vaginal solution
385196001	Rectal tampon
764770000	Dual delayed-release oral capsule
1231566004	Tablet for vapor inhalation
1306759002	Prolonged-release intravitreal implant
766234004	Powder for suspension for inhalation
1230065004	Cutaneous emulsion spray
385149009	Nasal cream
1231577005	Conventional release solution for cardioplegia
1217287006	Hard oral capsule
421446006	Granules for prolonged-release oral suspension
1230389004	Coated oral tablet
385138003	Ear drops emulsion
421343002	Powder for cutaneous solution
385046004	Prolonged-release oral granules
1237293005	Concentrate for solution for nebulizer
421155001	Gastro-resistant and prolonged-release oral tablet
385162008	Nasal stick
1231565000	Capsule for vapor inhalation
1297071006	Conventional release intravesical solution and solution for injection
385034003	Granules for oral syrup
385091008	Dental powder
230581000087102	Solution for intraocular irrigation
92631000087102	Modified-release oral suspension
385023001	Oral solution
385184008	Rectal ointment
1255338008	Chewable soft capsule
1237271000	Concentrate for dispersion for injection
764477003	Transdermal cream
385079004	Oromucosal paste
385195002	Rectal capsule
422353003	Prolonged-release oral suspension
385105007	Cutaneous spray	
420283001	Nasal emulsion
1230390008	Coated oral granules
